2020-03-07,1
2020-03-08,2
2020-03-09,4
2020-03-10,4
2020-03-11,4
2020-03-12,4
2020-03-13,6
2020-03-14,10
2020-03-15,10
2020-03-16,10
2020-03-17,12
2020-03-18,14
2020-03-19,16
2020-03-20,16
2020-03-21,22
2020-03-22,31
2020-03-23,43
2020-03-24,46
2020-03-25,76
2020-03-26,124
2020-03-27,124
2020-03-28,156
2020-03-29,187
2020-03-30,225
2020-03-31,244
2020-04-01,288
2020-04-02,328
2020-04-03,372
2020-04-04,387
2020-04-05,426
2020-04-06,488
2020-04-07,532
2020-04-08,570
2020-04-09,690
2020-04-10,777
2020-04-11,946
2020-04-12,1008
2020-04-13,1164
2020-04-14,1207
2020-04-15,1298
2020-04-16,1375
2020-04-17,1476
2020-04-18,1633
2020-04-19,1809
2020-04-20,1925
2020-04-21,2077
2020-04-22,2256
2020-04-23,2362
2020-04-24,2534
2020-04-25,2745
2020-04-26,2889
2020-04-27,3002
2020-04-28,3278
2020-04-29,3448
2020-04-30,3611
2020-05-01,3897
2020-05-02,4046
2020-05-03,4340
2020-05-04,4615
2020-05-05,4834
2020-05-06,4834
2020-05-07,5045
2020-05-08,5338
2020-05-09,5610
2020-05-10,5892
2020-05-11,6200
2020-05-12,6470
2020-05-13,6666
2020-05-14,6951
2020-05-15,7159
2020-05-16,7386
2020-05-17,7643
2020-05-18,7843
2020-05-19,8020
2020-05-20,8163
2020-05-21,8580
2020-05-22,8734
2020-05-23,8945
2020-05-24,8989
2020-05-25,9482
2020-05-26,9839
2020-05-27,10069
2020-05-28,10503
2020-05-29,10738
2020-05-30,10906
2020-05-31,11110
2020-06-01,11219
2020-06-02,11426
2020-06-03,11596
2020-06-04,11815
2020-06-05,11904
2020-06-06,12056
2020-06-07,12455
2020-06-08,12603
2020-06-09,12695
2020-06-10,12746
2020-06-11,12812
2020-06-12,12863
2020-06-13,12939
2020-06-14,13017
2020-06-15,13092
2020-06-16,13103
2020-06-17,13153
