2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,2
2020-03-17,6
2020-03-18,6
2020-03-19,6
2020-03-20,10
2020-03-21,11
2020-03-22,12
2020-03-23,14
2020-03-24,17
2020-03-25,21
2020-03-26,21
2020-03-27,31
2020-03-28,36
2020-03-29,39
2020-03-30,40
2020-03-31,50
2020-04-01,56
2020-04-02,61
2020-04-03,66
2020-04-04,78
2020-04-05,84
2020-04-06,90
2020-04-07,97
2020-04-08,103
2020-04-09,109
2020-04-10,116
2020-04-11,121
2020-04-12,125
2020-04-13,132
2020-04-14,135
2020-04-15,142
2020-04-16,150
2020-04-17,153
2020-04-18,154
2020-04-19,161
2020-04-20,171
2020-04-21,173
2020-04-22,183
2020-04-23,191
2020-04-24,196
2020-04-25,201
2020-04-26,204
2020-04-27,204
2020-04-28,205
2020-04-29,206
2020-04-30,214
2020-05-01,222
2020-05-02,224
2020-05-03,225
2020-05-04,226
2020-05-05,231
2020-05-06,235
2020-05-07,241
2020-05-08,250
2020-05-09,256
2020-05-10,266
2020-05-11,268
2020-05-12,274
2020-05-13,274
2020-05-14,271
2020-05-15,277
2020-05-16,281
2020-05-17,281
2020-05-18,286
2020-05-19,284
2020-05-20,284
2020-05-21,284
2020-05-22,289
2020-05-23,290
2020-05-24,290
2020-05-25,294
2020-05-26,296
2020-05-27,300
2020-05-28,304
2020-05-29,305
2020-05-30,306
2020-05-31,312
2020-06-01,317
2020-06-02,317
2020-06-03,324
2020-06-04,333
2020-06-05,343
2020-06-06,350
2020-06-07,364
2020-06-08,377
2020-06-09,400
2020-06-10,409
2020-06-11,450
2020-06-12,459
2020-06-13,476
2020-06-14,486
2020-06-15,492
2020-06-16,513
2020-06-17,530
