2020-03-17,1
2020-03-18,3
2020-03-19,6
2020-03-20,7
2020-03-21,18
2020-03-22,20
2020-03-23,43
2020-03-24,58
2020-03-25,75
2020-03-26,105
2020-03-27,124
2020-03-28,153
2020-03-29,164
2020-03-30,188
2020-03-31,228
2020-04-01,244
2020-04-02,325
2020-04-03,389
2020-04-04,621
2020-04-05,656
2020-04-06,816
2020-04-07,892
2020-04-08,935
2020-04-09,1000
2020-04-10,1088
2020-04-11,1158
2020-04-12,1223
2020-04-13,1273
2020-04-14,1295
2020-04-15,1325
2020-04-16,1389
2020-04-17,1424
2020-04-18,1476
2020-04-19,1512
2020-04-20,1534
2020-04-21,1560
2020-04-22,1603
2020-04-23,1636
2020-04-24,1697
2020-04-25,1720
2020-04-26,1739
2020-04-27,1771
2020-04-28,1787
2020-04-29,1830
2020-04-30,1874
2020-05-01,1989
2020-05-02,2054
2020-05-03,2086
2020-05-04,2131
2020-05-05,2175
2020-05-06,2224
2020-05-07,2256
2020-05-08,2284
2020-05-09,2348
2020-05-10,2374
2020-05-11,2398
2020-05-12,2445
2020-05-13,2487
2020-05-14,2898
2020-05-15,2953
2020-05-16,3009
2020-05-17,3034
2020-05-18,3056
2020-05-19,3145
2020-05-20,3213
2020-05-21,3319
2020-05-22,3370
2020-05-23,3382
2020-05-24,3386
2020-05-25,3438
2020-05-26,3462
2020-05-27,3491
2020-05-28,3526
2020-05-29,3526
2020-05-30,3591
2020-05-31,3618
2020-06-01,3666
2020-06-02,3730
2020-06-03,3773
2020-06-04,3820
2020-06-05,3874
2020-06-06,3911
2020-06-07,3949
2020-06-08,3963
2020-06-09,4023
2020-06-10,4054
2020-06-11,4088
2020-06-12,4150
2020-06-13,4197
2020-06-14,4226
2020-06-15,4284
2020-06-16,4301
2020-06-17,4357
