2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,2
2020-03-15,2
2020-03-16,3
2020-03-17,4
2020-03-18,6
2020-03-19,10
2020-03-20,12
2020-03-21,15
2020-03-22,16
2020-03-23,34
2020-03-24,40
2020-03-25,93
2020-03-26,115
2020-03-27,140
2020-03-28,189
2020-03-29,219
2020-03-30,222
2020-03-31,242
2020-04-01,298
2020-04-02,336
2020-04-03,377
2020-04-04,598
2020-04-05,647
2020-04-06,711
2020-04-07,756
2020-04-08,803
2020-04-09,906
2020-04-10,950
2020-04-11,974
2020-04-12,1018
2020-04-13,1033
2020-04-14,1097
2020-04-15,1118
2020-04-16,1154
2020-04-17,1220
2020-04-18,1244
2020-04-19,1261
2020-04-20,1276
2020-04-21,1310
2020-04-22,1332
2020-04-23,1389
2020-04-24,1407
2020-04-25,1432
2020-04-26,1448
2020-04-27,1470
2020-04-28,1497
2020-04-29,1525
2020-04-30,1540
2020-05-01,1579
2020-05-02,1601
2020-05-03,1610
2020-05-04,1629
2020-05-05,1639
2020-05-06,1667
2020-05-07,1690
2020-05-08,1712
2020-05-09,1743
2020-05-10,1751
2020-05-11,1765
2020-05-12,1784
2020-05-13,1800
2020-05-14,1818
2020-05-15,1846
2020-05-16,1864
2020-05-17,1877
2020-05-18,1898
2020-05-19,1912
2020-05-20,1939
2020-05-21,2272
2020-05-22,2293
2020-05-23,2299
2020-05-24,2312
2020-05-25,2343
2020-05-26,2347
2020-05-27,2427
2020-05-28,2480
2020-05-29,2480
2020-05-30,2525
2020-05-31,2562
2020-06-01,2578
2020-06-02,2609
2020-06-03,2633
2020-06-04,2676
2020-06-05,2699
2020-06-06,2713
2020-06-07,2731
2020-06-08,2737
2020-06-09,2755
2020-06-10,2784
2020-06-11,2794
2020-06-12,2803
2020-06-13,2830
2020-06-14,2853
2020-06-15,2869
2020-06-16,2888
2020-06-17,2933
