2020-03-09,2
2020-03-10,2
2020-03-11,4
2020-03-12,5
2020-03-13,7
2020-03-14,8
2020-03-15,11
2020-03-16,14
2020-03-17,22
2020-03-18,32
2020-03-19,43
2020-03-20,53
2020-03-21,92
2020-03-22,158
2020-03-23,238
2020-03-24,288
2020-03-25,313
2020-03-26,501
2020-03-27,634
2020-03-28,781
2020-03-29,870
2020-03-30,1030
2020-03-31,1140
2020-04-01,1301
2020-04-02,1458
2020-04-03,1743
2020-04-04,2065
2020-04-05,2354
2020-04-06,2545
2020-04-07,2770
2020-04-08,3038
2020-04-09,3248
2020-04-10,3496
2020-04-11,3651
2020-04-12,3785
2020-04-13,3875
2020-04-14,4003
2020-04-15,4122
2020-04-16,4299
2020-04-17,4414
2020-04-18,4528
2020-04-19,4669
2020-04-20,4787
2020-04-21,4947
2020-04-22,5086
2020-04-23,5238
2020-04-24,5368
2020-04-25,5521
2020-04-26,5671
2020-04-27,5759
2020-04-28,5826
2020-04-29,5907
2020-04-30,6033
2020-05-01,6132
2020-05-02,6198
2020-05-03,6290
2020-05-04,6378
2020-05-05,6490
2020-05-06,6552
2020-05-07,6649
2020-05-08,6752
2020-05-09,6815
2020-05-10,6894
2020-05-11,6988
2020-05-12,7041
2020-05-13,7090
2020-05-14,7164
2020-05-15,7224
2020-05-16,7297
2020-05-17,7339
2020-05-18,7408
2020-05-19,7470
2020-05-20,7541
2020-05-21,7637
2020-05-22,7695
2020-05-23,7720
2020-05-24,7800
2020-05-25,7865
2020-05-26,7911
2020-05-27,7961
2020-05-28,8012
2020-05-29,8100
2020-05-30,8159
2020-05-31,8219
2020-06-01,8249
2020-06-02,8289
2020-06-03,8332
2020-06-04,8379
2020-06-05,8428
2020-06-06,8454
2020-06-07,8478
2020-06-08,8498
2020-06-09,8512
2020-06-10,8563
2020-06-11,8627
2020-06-12,8660
2020-06-13,8720
2020-06-14,8740
2020-06-15,8761
2020-06-16,8786
2020-06-17,8804
