2020-03-05,1
2020-03-06,1
2020-03-07,5
2020-03-08,10
2020-03-09,15
2020-03-10,41
2020-03-11,41
2020-03-12,49
2020-03-13,60
2020-03-14,65
2020-03-15,75
2020-03-16,83
2020-03-17,89
2020-03-18,100
2020-03-19,119
2020-03-20,144
2020-03-21,177
2020-03-22,199
2020-03-23,232
2020-03-24,304
2020-03-25,446
2020-03-26,538
2020-03-27,685
2020-03-28,842
2020-03-29,981
2020-03-30,1141
2020-03-31,1340
2020-04-01,1582
2020-04-02,1870
2020-04-03,2202
2020-04-04,2468
2020-04-05,2632
2020-04-06,2950
2020-04-07,3187
2020-04-08,3545
2020-04-09,4045
2020-04-10,4447
2020-04-11,4872
2020-04-12,5660
2020-04-13,5983
2020-04-14,6254
2020-04-15,6681
2020-04-16,7206
2020-04-17,7744
2020-04-18,8297
2020-04-19,8737
2020-04-20,9253
2020-04-21,9621
2020-04-22,10094
2020-04-23,10724
2020-04-24,11681
2020-04-25,12253
2020-04-26,12648
2020-04-27,12953
2020-04-28,13417
2020-04-29,13799
2020-04-30,14208
2020-05-01,14607
2020-05-02,15048
2020-05-03,15370
2020-05-04,15757
2020-05-05,15980
2020-05-06,16327
2020-05-07,16676
2020-05-08,17014
2020-05-09,17307
2020-05-10,17589
2020-05-11,17774
2020-05-12,17953
2020-05-13,18201
2020-05-14,18381
2020-05-15,18683
2020-05-16,18883
2020-05-17,19129
2020-05-18,19345
2020-05-19,19504
2020-05-20,19708
2020-05-21,19930
2020-05-22,20085
2020-05-23,20232
2020-05-24,20437
2020-05-25,20539
2020-05-26,20601
2020-05-27,20706
2020-05-28,20857
2020-05-29,20972
2020-05-30,21124
2020-05-31,21287
2020-06-01,22224
2020-06-02,22296
2020-06-03,22403
2020-06-04,22485
2020-06-05,22583
2020-06-06,22686
2020-06-07,22754
2020-06-08,22812
2020-06-09,22845
2020-06-10,22889
2020-06-11,22996
2020-06-12,23075
2020-06-13,23156
2020-06-14,23195
2020-06-15,23227
2020-06-16,23269
2020-06-17,23346
